trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
289,False,"{'a': 0.5, 'e': 0.05557621261148306}",20,3,33.03407039005968,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
290,False,"{'a': 0.5, 'e': 0.05502322005640723}",25,9,26.82695309302204,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
291,False,"{'a': 0.5, 'e': 0.05447572986918986}",20,6,24.397387460674594,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
292,False,"{'a': 0.5, 'e': 0.05393368730035602}",35,23,21.42063617793562,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
293,False,"{'a': 0.5, 'e': 0.053397038145197084}",20,3,22.265332965462985,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
294,False,"{'a': 0.5, 'e': 0.05286572873835037}",30,4,34.08031305159012,"{0: 25, 1: 1, 2: 0, 3: 0, 4: 0}",1
295,False,"{'a': 0.5, 'e': 0.05233970594843238}",25,20,9.75825058175689,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
296,False,"{'a': 0.5, 'e': 0.05181891717272583}",20,13,11.445341380877233,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
297,False,"{'a': 0.5, 'e': 0.05130331033191911}",20,11,19.80450224942789,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
298,False,"{'a': 0.5, 'e': 0.0507928338648985}",20,0,17.305859191604018,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
299,False,"{'a': 0.5, 'e': 0.050287436723591865}",30,18,19.415158880631687,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
300,False,"{'a': 0.5, 'e': 0.049787068367863944}",25,19,12.134572236424372,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
301,False,"{'a': 0.5, 'e': 0.04929167876046215}",20,14,1.1645775554418452,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
302,False,"{'a': 0.5, 'e': 0.04880121836201296}",25,17,15.217728009617986,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
303,False,"{'a': 0.5, 'e': 0.04831563812606777}",20,12,18.171777058785743,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
304,False,"{'a': 0.5, 'e': 0.04783488949419837}",30,16,28.404678589596628,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
305,False,"{'a': 0.5, 'e': 0.04735892439114091}",25,10,22.02798332443689,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
306,False,"{'a': 0.5, 'e': 0.046887695219988486}",30,11,36.219426993979155,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
307,False,"{'a': 0.5, 'e': 0.04642115485743125}",25,14,21.363177940743483,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
308,False,"{'a': 0.5, 'e': 0.045959256649044204}",20,3,28.662667815423724,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
309,False,"{'a': 0.5, 'e': 0.04550195440462157}",20,8,19.504851190803464,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
310,False,"{'a': 0.5, 'e': 0.0450492023935578}",25,9,30.81164541213357,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
311,False,"{'a': 0.5, 'e': 0.044600955340274535}",20,0,25.66583844315479,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
312,False,"{'a': 0.5, 'e': 0.04415716841969286}",20,15,10.415743095913609,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
313,False,"{'a': 0.5, 'e': 0.04371779725275094}",30,14,26.665469154406956,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
314,False,"{'a': 0.5, 'e': 0.043282797901965896}",20,0,30.203673353596105,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
315,False,"{'a': 0.5, 'e': 0.04285212686704019}",20,0,15.228413065635333,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
316,False,"{'a': 0.5, 'e': 0.042425741080511385}",30,12,-10.552533125729553,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
317,False,"{'a': 0.5, 'e': 0.04200359790344555}",20,2,29.993489150272868,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
318,False,"{'a': 0.5, 'e': 0.04158565512117316}",25,15,7.430923159214838,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
